,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2023-08-01,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-02,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-03,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-04,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-05,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-06,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-07,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-08,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-09,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
2023-08-10,169,4,,4,32,21352,214,28776,1,755,4868,439,4279,1145,59066,,16982,9318,2007,18029,47961,149785,600,,23,68,99,123,,1,9,17833,,591,,13,412282,19732,79963,53,41538,85,2529,,,193,22046,5317,5078,25,5957,3038,101,2824,76,,162,,,3,138,790,219,4,458,1,2221,274,1612,16320,30633,40787,533,337,16909,1115,277,304,1643,20,283,,1603,358,4850,402,,224,,69,,9,2,2,6,8,4,,1533,159
